F:\skyrim-dev\repos\EngineFixesSkyrim64\src\main.cpp(97): [info] Engine Fixes v6.1.1
F:\skyrim-dev\repos\EngineFixesSkyrim64\src\main.cpp(100): [info] loaded config successfully
F:\skyrim-dev\repos\EngineFixesSkyrim64\src\main.cpp(128): [info] beginning pre-load patches
F:\skyrim-dev\repos\EngineFixesSkyrim64\src\main.cpp(134): [info] pre-load patches complete
F:\skyrim-dev\repos\EngineFixesSkyrim64\src\main.cpp(13): [info] beginning post-load patches
F:\skyrim-dev\repos\EngineFixesSkyrim64\src\main.cpp(33): [info] post-load patches complete
F:\skyrim-dev\repos\EngineFixesSkyrim64\src\patches\miscpatches.cpp(111): [warning] Error occurred trying to open file: fopen_s(C:\Users\user\Documents\My Games\Skyrim Special Edition\__MO_Saves\Save2_7C7C8AC7_0_526176656E_Tamriel_000017_20231018083552_1_1.ess.tmp, r+b), errno 2
F:\skyrim-dev\repos\EngineFixesSkyrim64\src\patches\miscpatches.cpp(111): [warning] Error occurred trying to open file: fopen_s(C:\Users\user\Documents\My Games\Skyrim Special Edition\__MO_Saves\Save3_7C7C8AC7_0_526176656E_Tamriel_000040_20231018085833_3_1.ess.tmp, r+b), errno 2
F:\skyrim-dev\repos\EngineFixesSkyrim64\src\patches\miscpatches.cpp(111): [warning] Error occurred trying to open file: fopen_s(C:\Users\user\Documents\My Games\Skyrim Special Edition\__MO_Saves\Save4_7C7C8AC7_0_526176656E_BleakFallsBarrow01_000049_20231018090721_3_1.ess.tmp, r+b), errno 2
F:\skyrim-dev\repos\EngineFixesSkyrim64\src\patches\miscpatches.cpp(111): [warning] Error occurred trying to open file: fopen_s(C:\Users\user\Documents\My Games\Skyrim Special Edition\__MO_Saves\Save5_7C7C8AC7_0_526176656E_BleakFallsBarrow01_000054_20231018092546_3_1.ess.tmp, r+b), errno 2
F:\skyrim-dev\repos\EngineFixesSkyrim64\src\patches\miscpatches.cpp(111): [warning] Error occurred trying to open file: fopen_s(C:\Users\user\Documents\My Games\Skyrim Special Edition\__MO_Saves\Save6_7C7C8AC7_0_526176656E_BleakFallsBarrow01_000056_20231018092833_3_1.ess.tmp, r+b), errno 2
F:\skyrim-dev\repos\EngineFixesSkyrim64\src\patches\miscpatches.cpp(111): [warning] Error occurred trying to open file: fopen_s(C:\Users\user\Documents\My Games\Skyrim Special Edition\__MO_Saves\Save7_7C7C8AC7_0_526176656E_BleakFallsBarrow01_000058_20231018093027_3_1.ess.tmp, r+b), errno 2
F:\skyrim-dev\repos\EngineFixesSkyrim64\src\patches\miscpatches.cpp(111): [warning] Error occurred trying to open file: fopen_s(C:\Users\user\Documents\My Games\Skyrim Special Edition\__MO_Saves\Save8_7C7C8AC7_0_526176656E_BleakFallsBarrow01_000102_20231018093409_4_1.ess.tmp, r+b), errno 2
F:\skyrim-dev\repos\EngineFixesSkyrim64\src\patches\miscpatches.cpp(111): [warning] Error occurred trying to open file: fopen_s(C:\Users\user\Documents\My Games\Skyrim Special Edition\__MO_Saves\Save9_7C7C8AC7_0_526176656E_BleakFallsBarrow02_000105_20231018093741_4_1.ess.tmp, r+b), errno 2
F:\skyrim-dev\repos\EngineFixesSkyrim64\src\patches\miscpatches.cpp(111): [warning] Error occurred trying to open file: fopen_s(C:\Users\user\Documents\My Games\Skyrim Special Edition\__MO_Saves\Save10_7C7C8AC7_0_526176656E_BleakFallsBarrow02_000108_20231018093949_4_1.ess.tmp, r+b), errno 2
F:\skyrim-dev\repos\EngineFixesSkyrim64\src\patches\miscpatches.cpp(111): [warning] Error occurred trying to open file: fopen_s(C:\Users\user\Documents\My Games\Skyrim Special Edition\__MO_Saves\Save11_7C7C8AC7_0_526176656E_BleakFallsBarrow02_000110_20231018094234_4_1.ess.tmp, r+b), errno 2
F:\skyrim-dev\repos\EngineFixesSkyrim64\src\patches\miscpatches.cpp(111): [warning] Error occurred trying to open file: fopen_s(C:\Users\user\Documents\My Games\Skyrim Special Edition\__MO_Saves\Save12_7C7C8AC7_0_526176656E_BleakFallsBarrow02_000116_20231018094747_4_1.ess.tmp, r+b), errno 2
F:\skyrim-dev\repos\EngineFixesSkyrim64\src\patches\miscpatches.cpp(111): [warning] Error occurred trying to open file: fopen_s(C:\Users\user\Documents\My Games\Skyrim Special Edition\__MO_Saves\Save13_7C7C8AC7_0_526176656E_Tamriel_000133_20231018100504_4_1.ess.tmp, r+b), errno 2
F:\skyrim-dev\repos\EngineFixesSkyrim64\src\patches\miscpatches.cpp(111): [warning] Error occurred trying to open file: fopen_s(C:\Users\user\Documents\My Games\Skyrim Special Edition\__MO_Saves\Save14_7C7C8AC7_0_526176656E_Tamriel_000139_20231018101142_4_1.ess.tmp, r+b), errno 2
